iin	V(iin)	I(Iin)	I(Iout)	I(Vdd)	I(Vout)
1.000000000000000e-07	4.255155e+00	1.000000e-07	1.159478e-07	-2.159478e-07	1.159478e-07
1.999000000000000e-07	4.205122e+00	1.999000e-07	2.273593e-07	-4.272593e-07	2.273593e-07
2.998000000000000e-07	4.169451e+00	2.998000e-07	3.373944e-07	-6.371944e-07	3.373944e-07
3.997000000000000e-07	4.140466e+00	3.997000e-07	4.466547e-07	-8.463547e-07	4.466547e-07
4.996000000000001e-07	4.115469e+00	4.996000e-07	5.553920e-07	-1.054992e-06	5.553920e-07
5.995000000000000e-07	4.093275e+00	5.995000e-07	6.637413e-07	-1.263241e-06	6.637413e-07
6.994000000000000e-07	4.073090e+00	6.994000e-07	7.717854e-07	-1.471185e-06	7.717854e-07
7.993000000000000e-07	4.054462e+00	7.993000e-07	8.795796e-07	-1.678880e-06	8.795796e-07
8.992000000000000e-07	4.037087e+00	8.992000e-07	9.871632e-07	-1.886363e-06	9.871632e-07
9.991000000000001e-07	4.020745e+00	9.991001e-07	1.094565e-06	-2.093665e-06	1.094565e-06
1.099000000000000e-06	4.005272e+00	1.099000e-06	1.201809e-06	-2.300809e-06	1.201809e-06
1.198900000000000e-06	3.990545e+00	1.198900e-06	1.308910e-06	-2.507810e-06	1.308910e-06
1.298800000000000e-06	3.976465e+00	1.298800e-06	1.415885e-06	-2.714685e-06	1.415885e-06
1.398700000000000e-06	3.962954e+00	1.398700e-06	1.522745e-06	-2.921445e-06	1.522745e-06
1.498600000000001e-06	3.949947e+00	1.498600e-06	1.629499e-06	-3.128099e-06	1.629499e-06
1.598500000000001e-06	3.937392e+00	1.598500e-06	1.736156e-06	-3.334656e-06	1.736156e-06
1.698400000000001e-06	3.925245e+00	1.698400e-06	1.842723e-06	-3.541123e-06	1.842723e-06
1.798300000000001e-06	3.913467e+00	1.798300e-06	1.949206e-06	-3.747506e-06	1.949206e-06
1.898200000000001e-06	3.902026e+00	1.898200e-06	2.055611e-06	-3.953811e-06	2.055611e-06
1.998100000000001e-06	3.890895e+00	1.998100e-06	2.161942e-06	-4.160042e-06	2.161942e-06
2.098000000000001e-06	3.880049e+00	2.098000e-06	2.268203e-06	-4.366203e-06	2.268203e-06
2.197900000000001e-06	3.869467e+00	2.197900e-06	2.374399e-06	-4.572299e-06	2.374399e-06
2.297800000000001e-06	3.859130e+00	2.297800e-06	2.480532e-06	-4.778332e-06	2.480532e-06
2.397700000000001e-06	3.849021e+00	2.397700e-06	2.586606e-06	-4.984306e-06	2.586606e-06
2.497600000000001e-06	3.839126e+00	2.497600e-06	2.692623e-06	-5.190223e-06	2.692623e-06
2.597500000000001e-06	3.829431e+00	2.597500e-06	2.798585e-06	-5.396085e-06	2.798585e-06
2.697400000000001e-06	3.819924e+00	2.697400e-06	2.904496e-06	-5.601896e-06	2.904496e-06
2.797300000000002e-06	3.810594e+00	2.797300e-06	3.010357e-06	-5.807657e-06	3.010357e-06
2.897200000000002e-06	3.801431e+00	2.897200e-06	3.116170e-06	-6.013370e-06	3.116170e-06
2.997100000000002e-06	3.792426e+00	2.997100e-06	3.221937e-06	-6.219037e-06	3.221937e-06
3.097000000000002e-06	3.783571e+00	3.097000e-06	3.327659e-06	-6.424659e-06	3.327659e-06
3.196900000000002e-06	3.774859e+00	3.196900e-06	3.433338e-06	-6.630238e-06	3.433338e-06
3.296800000000002e-06	3.766282e+00	3.296800e-06	3.538976e-06	-6.835776e-06	3.538976e-06
3.396700000000002e-06	3.757834e+00	3.396700e-06	3.644573e-06	-7.041273e-06	3.644573e-06
3.496600000000002e-06	3.749509e+00	3.496600e-06	3.750131e-06	-7.246731e-06	3.750131e-06
3.596500000000002e-06	3.741302e+00	3.596500e-06	3.855651e-06	-7.452151e-06	3.855651e-06
3.696400000000002e-06	3.733207e+00	3.696400e-06	3.961135e-06	-7.657535e-06	3.961135e-06
3.796300000000003e-06	3.725219e+00	3.796300e-06	4.066582e-06	-7.862883e-06	4.066582e-06
3.896200000000003e-06	3.717336e+00	3.896200e-06	4.171995e-06	-8.068195e-06	4.171995e-06
3.996100000000002e-06	3.709551e+00	3.996100e-06	4.277374e-06	-8.273474e-06	4.277374e-06
4.096000000000002e-06	3.701862e+00	4.096000e-06	4.382720e-06	-8.478720e-06	4.382720e-06
4.195900000000002e-06	3.694264e+00	4.195900e-06	4.488033e-06	-8.683933e-06	4.488033e-06
4.295800000000001e-06	3.686755e+00	4.295800e-06	4.593315e-06	-8.889115e-06	4.593315e-06
4.395700000000001e-06	3.679331e+00	4.395700e-06	4.698566e-06	-9.094266e-06	4.698566e-06
4.495600000000001e-06	3.671989e+00	4.495600e-06	4.803787e-06	-9.299387e-06	4.803787e-06
4.595500000000000e-06	3.664726e+00	4.595500e-06	4.908979e-06	-9.504479e-06	4.908979e-06
4.695400000000000e-06	3.657540e+00	4.695400e-06	5.014141e-06	-9.709542e-06	5.014141e-06
4.795300000000000e-06	3.650428e+00	4.795300e-06	5.119276e-06	-9.914575e-06	5.119276e-06
4.895199999999999e-06	3.643387e+00	4.895200e-06	5.224383e-06	-1.011958e-05	5.224383e-06
4.995099999999999e-06	3.636416e+00	4.995100e-06	5.329462e-06	-1.032456e-05	5.329462e-06
5.094999999999999e-06	3.629512e+00	5.095000e-06	5.434515e-06	-1.052951e-05	5.434515e-06
5.194899999999998e-06	3.622673e+00	5.194900e-06	5.539542e-06	-1.073444e-05	5.539542e-06
5.294799999999998e-06	3.615897e+00	5.294800e-06	5.644543e-06	-1.093934e-05	5.644543e-06
5.394699999999998e-06	3.609183e+00	5.394700e-06	5.749519e-06	-1.114422e-05	5.749519e-06
5.494599999999997e-06	3.602528e+00	5.494600e-06	5.854471e-06	-1.134907e-05	5.854471e-06
5.594499999999997e-06	3.595931e+00	5.594500e-06	5.959398e-06	-1.155390e-05	5.959398e-06
5.694399999999997e-06	3.589390e+00	5.694400e-06	6.064301e-06	-1.175870e-05	6.064301e-06
5.794299999999996e-06	3.582904e+00	5.794300e-06	6.169181e-06	-1.196348e-05	6.169181e-06
5.894199999999996e-06	3.576471e+00	5.894200e-06	6.274037e-06	-1.216824e-05	6.274037e-06
5.994099999999996e-06	3.570090e+00	5.994100e-06	6.378871e-06	-1.237297e-05	6.378871e-06
6.093999999999995e-06	3.563760e+00	6.094000e-06	6.483682e-06	-1.257768e-05	6.483682e-06
6.193899999999995e-06	3.557479e+00	6.193900e-06	6.588471e-06	-1.278237e-05	6.588471e-06
6.293799999999995e-06	3.551246e+00	6.293800e-06	6.693238e-06	-1.298704e-05	6.693238e-06
6.393699999999994e-06	3.545060e+00	6.393700e-06	6.797984e-06	-1.319168e-05	6.797984e-06
6.493599999999994e-06	3.538919e+00	6.493600e-06	6.902709e-06	-1.339631e-05	6.902709e-06
6.593499999999994e-06	3.532823e+00	6.593500e-06	7.007413e-06	-1.360091e-05	7.007413e-06
6.693399999999993e-06	3.526771e+00	6.693400e-06	7.112097e-06	-1.380550e-05	7.112097e-06
6.793299999999993e-06	3.520761e+00	6.793300e-06	7.216760e-06	-1.401006e-05	7.216760e-06
6.893199999999993e-06	3.514793e+00	6.893200e-06	7.321402e-06	-1.421460e-05	7.321402e-06
6.993099999999992e-06	3.508865e+00	6.993100e-06	7.426026e-06	-1.441913e-05	7.426026e-06
7.092999999999992e-06	3.502977e+00	7.093000e-06	7.530629e-06	-1.462363e-05	7.530629e-06
7.192899999999992e-06	3.497128e+00	7.192900e-06	7.635213e-06	-1.482811e-05	7.635213e-06
7.292799999999991e-06	3.491317e+00	7.292800e-06	7.739779e-06	-1.503258e-05	7.739779e-06
7.392699999999991e-06	3.485543e+00	7.392700e-06	7.844325e-06	-1.523702e-05	7.844325e-06
7.492599999999991e-06	3.479806e+00	7.492600e-06	7.948853e-06	-1.544145e-05	7.948853e-06
7.592499999999990e-06	3.474104e+00	7.592500e-06	8.053362e-06	-1.564586e-05	8.053362e-06
