iin	V(iin)	V(vout)	I(Iin)	I(Iout)	I(Vout)
1.000000000000000e-07	4.255155e+00	5.000000e+00	1.000000e-07	1.236668e-19	1.236668e-19
1.999000000000000e-07	4.205122e+00	5.000000e+00	1.999000e-07	6.437450e-20	6.437450e-20
2.998000000000000e-07	4.169451e+00	5.000000e+00	2.998000e-07	-1.507719e-18	-1.507719e-18
3.997000000000000e-07	4.140466e+00	5.000000e+00	3.997000e-07	1.355253e-19	1.355253e-19
4.996000000000001e-07	4.115469e+00	5.000000e+00	4.996000e-07	-3.693064e-19	-3.693064e-19
5.995000000000000e-07	4.093275e+00	5.000000e+00	5.995000e-07	-3.017347e-19	-3.017347e-19
6.994000000000000e-07	4.073090e+00	5.000000e+00	6.994000e-07	5.488773e-19	5.488773e-19
7.993000000000000e-07	4.054462e+00	5.000000e+00	7.993000e-07	-4.300358e-19	-4.300358e-19
8.992000000000000e-07	4.037087e+00	5.000000e+00	8.992000e-07	-1.358927e-18	-1.358927e-18
9.991000000000001e-07	4.020745e+00	5.000000e+00	9.991001e-07	-1.039844e-18	-1.039844e-18
1.099000000000000e-06	4.005272e+00	5.000000e+00	1.099000e-06	-1.097755e-18	-1.097755e-18
1.198900000000000e-06	3.990545e+00	5.000000e+00	1.198900e-06	1.144728e-19	1.144728e-19
1.298800000000000e-06	3.976465e+00	5.000000e+00	1.298800e-06	4.871223e-19	4.871223e-19
1.398700000000000e-06	3.962954e+00	5.000000e+00	1.398700e-06	5.964759e-21	5.964759e-21
1.498600000000001e-06	3.949947e+00	5.000000e+00	1.498600e-06	-8.478853e-19	-8.478853e-19
1.598500000000001e-06	3.937392e+00	5.000000e+00	1.598500e-06	-8.208193e-19	-8.208193e-19
1.698400000000001e-06	3.925245e+00	5.000000e+00	1.698400e-06	2.565690e-19	2.565690e-19
1.798300000000001e-06	3.913467e+00	5.000000e+00	1.798300e-06	-4.133521e-19	-4.133521e-19
1.898200000000001e-06	3.902026e+00	5.000000e+00	1.898200e-06	1.429792e-18	1.429792e-18
1.998100000000001e-06	3.890895e+00	5.000000e+00	1.998100e-06	-9.632630e-19	-9.632630e-19
2.098000000000001e-06	3.880049e+00	5.000000e+00	2.098000e-06	-1.585646e-18	-1.585646e-18
2.197900000000001e-06	3.869467e+00	5.000000e+00	2.197900e-06	-4.347785e-19	-4.347785e-19
2.297800000000001e-06	3.859130e+00	5.000000e+00	2.297800e-06	1.592422e-18	1.592422e-18
2.397700000000001e-06	3.849021e+00	5.000000e+00	2.397700e-06	3.794708e-19	3.794708e-19
2.497600000000001e-06	3.839126e+00	5.000000e+00	2.497600e-06	-1.558541e-18	-1.558541e-18
2.597500000000001e-06	3.829431e+00	5.000000e+00	2.597500e-06	2.032879e-19	2.032879e-19
2.697400000000001e-06	3.819924e+00	5.000000e+00	2.697400e-06	-8.131516e-20	-8.131516e-20
2.797300000000002e-06	3.810594e+00	5.000000e+00	2.797300e-06	-4.933978e-19	-4.933978e-19
2.897200000000002e-06	3.801431e+00	5.000000e+00	2.897200e-06	-1.279418e-18	-1.279418e-18
2.997100000000002e-06	3.792426e+00	5.000000e+00	2.997100e-06	4.553309e-19	4.553309e-19
3.097000000000002e-06	3.783571e+00	5.000000e+00	3.097000e-06	1.124860e-18	1.124860e-18
3.196900000000002e-06	3.774859e+00	5.000000e+00	3.196900e-06	1.165672e-19	1.165672e-19
3.296800000000002e-06	3.766282e+00	5.000000e+00	3.296800e-06	2.792216e-19	2.792216e-19
3.396700000000002e-06	3.757834e+00	5.000000e+00	3.396700e-06	1.390552e-18	1.390552e-18
3.496600000000002e-06	3.749509e+00	5.000000e+00	3.496600e-06	1.084202e-19	1.084202e-19
3.596500000000002e-06	3.741302e+00	5.000000e+00	3.596500e-06	3.712305e-19	3.712305e-19
3.696400000000002e-06	3.733207e+00	5.000000e+00	3.696400e-06	3.523657e-19	3.523657e-19
3.796300000000003e-06	3.725219e+00	5.000000e+00	3.796300e-06	1.121844e-18	1.121844e-18
3.896200000000003e-06	3.717336e+00	5.000000e+00	3.896200e-06	-9.893345e-19	-9.893345e-19
3.996100000000002e-06	3.709551e+00	5.000000e+00	3.996100e-06	1.382358e-18	1.382358e-18
4.096000000000002e-06	3.701862e+00	5.000000e+00	4.096000e-06	2.439455e-19	2.439455e-19
4.195900000000002e-06	3.694264e+00	5.000000e+00	4.195900e-06	-3.659182e-19	-3.659182e-19
4.295800000000001e-06	3.686755e+00	5.000000e+00	4.295800e-06	4.640096e-19	4.640096e-19
4.395700000000001e-06	3.679331e+00	5.000000e+00	4.395700e-06	7.215472e-19	7.215472e-19
4.495600000000001e-06	3.671989e+00	5.000000e+00	4.495600e-06	-6.369688e-19	-6.369688e-19
4.595500000000000e-06	3.664726e+00	5.000000e+00	4.595500e-06	1.186322e-19	1.186322e-19
4.695400000000000e-06	3.657540e+00	5.000000e+00	4.695400e-06	1.124860e-18	1.124860e-18
4.795300000000000e-06	3.650428e+00	5.000000e+00	4.795300e-06	-1.284074e-18	-1.284074e-18
4.895199999999999e-06	3.643387e+00	5.000000e+00	4.895200e-06	7.453890e-19	7.453890e-19
4.995099999999999e-06	3.636416e+00	5.000000e+00	4.995100e-06	-9.215718e-19	-9.215718e-19
5.094999999999999e-06	3.629512e+00	5.000000e+00	5.095000e-06	-5.014435e-19	-5.014435e-19
5.194899999999998e-06	3.622673e+00	5.000000e+00	5.194900e-06	-1.314595e-18	-1.314595e-18
5.294799999999998e-06	3.615897e+00	5.000000e+00	5.294800e-06	2.132459e-19	2.132459e-19
5.394699999999998e-06	3.609183e+00	5.000000e+00	5.394700e-06	9.622294e-19	9.622294e-19
5.494599999999997e-06	3.602528e+00	5.000000e+00	5.494600e-06	9.486769e-20	9.486769e-20
5.594499999999997e-06	3.595931e+00	5.000000e+00	5.594500e-06	-8.846107e-19	-8.846107e-19
5.694399999999997e-06	3.589390e+00	5.000000e+00	5.694400e-06	2.710505e-20	2.710505e-20
5.794299999999996e-06	3.582904e+00	5.000000e+00	5.794300e-06	6.911789e-19	6.911789e-19
5.894199999999996e-06	3.576471e+00	5.000000e+00	5.894200e-06	1.151965e-18	1.151965e-18
5.994099999999996e-06	3.570090e+00	5.000000e+00	5.994100e-06	-7.047314e-19	-7.047314e-19
6.093999999999995e-06	3.563760e+00	5.000000e+00	6.094000e-06	-1.297184e-18	-1.297184e-18
6.193899999999995e-06	3.557479e+00	5.000000e+00	6.193900e-06	1.599198e-18	1.599198e-18
6.293799999999995e-06	3.551246e+00	5.000000e+00	6.293800e-06	-1.202254e-18	-1.202254e-18
6.393699999999994e-06	3.545060e+00	5.000000e+00	6.393700e-06	-1.897354e-19	-1.897354e-19
6.493599999999994e-06	3.538919e+00	5.000000e+00	6.493600e-06	-1.314595e-18	-1.314595e-18
6.593499999999994e-06	3.532823e+00	5.000000e+00	6.593500e-06	-2.670388e-19	-2.670388e-19
6.693399999999993e-06	3.526771e+00	5.000000e+00	6.693400e-06	-4.041416e-21	-4.041416e-21
6.793299999999993e-06	3.520761e+00	5.000000e+00	6.793300e-06	-6.369183e-20	-6.369183e-20
6.893199999999993e-06	3.514793e+00	5.000000e+00	6.893200e-06	4.743385e-19	4.743385e-19
6.993099999999992e-06	3.508865e+00	5.000000e+00	6.993100e-06	-3.022843e-19	-3.022843e-19
7.092999999999992e-06	3.502977e+00	5.000000e+00	7.093000e-06	9.486769e-20	9.486769e-20
7.192899999999992e-06	3.497128e+00	5.000000e+00	7.192900e-06	-3.346277e-19	-3.346277e-19
7.292799999999991e-06	3.491317e+00	5.000000e+00	7.292800e-06	-1.223941e-18	-1.223941e-18
7.392699999999991e-06	3.485543e+00	5.000000e+00	7.392700e-06	-1.939766e-19	-1.939766e-19
7.492599999999991e-06	3.479806e+00	5.000000e+00	7.492600e-06	7.453890e-19	7.453890e-19
7.592499999999990e-06	3.474104e+00	5.000000e+00	7.592500e-06	-4.743385e-19	-4.743385e-19
7.692399999999991e-06	3.468437e+00	5.000000e+00	7.692400e-06	1.423015e-18	1.423015e-18
7.792299999999991e-06	3.462805e+00	5.000000e+00	7.792300e-06	-2.303930e-19	-2.303930e-19
7.892199999999992e-06	3.457206e+00	5.000000e+00	7.892200e-06	-4.293047e-19	-4.293047e-19
7.992099999999992e-06	3.451640e+00	5.000000e+00	7.992100e-06	1.043545e-18	1.043545e-18
8.091999999999993e-06	3.446106e+00	5.000000e+00	8.092000e-06	4.110044e-19	4.110044e-19
8.191899999999994e-06	3.440604e+00	5.000000e+00	8.191900e-06	7.498434e-19	7.498434e-19
8.291799999999994e-06	3.435133e+00	5.000000e+00	8.291800e-06	-2.890831e-19	-2.890831e-19
8.391699999999995e-06	3.429692e+00	5.000000e+00	8.391700e-06	-5.014435e-19	-5.014435e-19
8.491599999999995e-06	3.424282e+00	5.000000e+00	8.491600e-06	7.815160e-19	7.815160e-19
8.591499999999996e-06	3.418900e+00	5.000000e+00	8.591500e-06	1.761829e-19	1.761829e-19
8.691399999999996e-06	3.413548e+00	5.000000e+00	8.691400e-06	-1.608170e-18	-1.608170e-18
8.791299999999997e-06	3.408224e+00	5.000000e+00	8.791300e-06	-1.066045e-18	-1.066045e-18
8.891199999999997e-06	3.402928e+00	5.000000e+00	8.891200e-06	1.517883e-18	1.517883e-18
8.991099999999998e-06	3.397659e+00	5.000000e+00	8.991100e-06	-2.303930e-19	-2.303930e-19
9.090999999999998e-06	3.392417e+00	5.000000e+00	9.091000e-06	-8.762366e-19	-8.762366e-19
9.190899999999999e-06	3.387201e+00	5.000000e+00	9.190900e-06	-6.369688e-19	-6.369688e-19
9.290799999999999e-06	3.382011e+00	5.000000e+00	9.290800e-06	-3.794708e-19	-3.794708e-19
9.390700000000000e-06	3.376847e+00	5.000000e+00	9.390700e-06	8.673617e-19	8.673617e-19
9.490600000000000e-06	3.371708e+00	5.000000e+00	9.490600e-06	-8.450288e-19	-8.450288e-19
9.590500000000001e-06	3.366594e+00	5.000000e+00	9.590500e-06	-1.120064e-18	-1.120064e-18
9.690400000000001e-06	3.361504e+00	5.000000e+00	9.690400e-06	1.278756e-18	1.278756e-18
9.790300000000002e-06	3.356438e+00	5.000000e+00	9.790300e-06	1.355253e-20	1.355253e-20
9.890200000000002e-06	3.351396e+00	5.000000e+00	9.890200e-06	6.960427e-19	6.960427e-19
