vout	V(vout)	I(Iout)
0.000000000000000e+00	0.000000e+00	1.159478e-07
5.000000000000000e-02	5.000000e-02	1.158104e-07
1.000000000000000e-01	1.000000e-01	1.156723e-07
1.500000000000000e-01	1.500000e-01	1.155337e-07
2.000000000000000e-01	2.000000e-01	1.153943e-07
2.500000000000000e-01	2.500000e-01	1.152543e-07
3.000000000000000e-01	3.000000e-01	1.151136e-07
3.500000000000000e-01	3.500000e-01	1.149723e-07
4.000000000000000e-01	4.000000e-01	1.148302e-07
4.500000000000000e-01	4.500000e-01	1.146875e-07
4.999999999999999e-01	5.000000e-01	1.145440e-07
5.499999999999999e-01	5.500000e-01	1.143998e-07
6.000000000000000e-01	6.000000e-01	1.142549e-07
6.500000000000000e-01	6.500000e-01	1.141092e-07
7.000000000000001e-01	7.000000e-01	1.139628e-07
7.500000000000001e-01	7.500000e-01	1.138155e-07
8.000000000000002e-01	8.000000e-01	1.136675e-07
8.500000000000002e-01	8.500000e-01	1.135187e-07
9.000000000000002e-01	9.000000e-01	1.133691e-07
9.500000000000003e-01	9.500000e-01	1.132187e-07
1.000000000000000e+00	1.000000e+00	1.130674e-07
1.050000000000000e+00	1.050000e+00	1.129152e-07
1.100000000000000e+00	1.100000e+00	1.127622e-07
1.150000000000000e+00	1.150000e+00	1.126083e-07
1.200000000000000e+00	1.200000e+00	1.124535e-07
1.250000000000000e+00	1.250000e+00	1.122978e-07
1.300000000000000e+00	1.300000e+00	1.121411e-07
1.350000000000001e+00	1.350000e+00	1.119835e-07
1.400000000000001e+00	1.400000e+00	1.118249e-07
1.450000000000001e+00	1.450000e+00	1.116653e-07
1.500000000000001e+00	1.500000e+00	1.115047e-07
1.550000000000001e+00	1.550000e+00	1.113431e-07
1.600000000000001e+00	1.600000e+00	1.111804e-07
1.650000000000001e+00	1.650000e+00	1.110167e-07
1.700000000000001e+00	1.700000e+00	1.108518e-07
1.750000000000001e+00	1.750000e+00	1.106859e-07
1.800000000000001e+00	1.800000e+00	1.105187e-07
1.850000000000001e+00	1.850000e+00	1.103505e-07
1.900000000000001e+00	1.900000e+00	1.101810e-07
1.950000000000001e+00	1.950000e+00	1.100103e-07
2.000000000000001e+00	2.000000e+00	1.098384e-07
2.050000000000001e+00	2.050000e+00	1.096652e-07
2.100000000000001e+00	2.100000e+00	1.094907e-07
2.150000000000000e+00	2.150000e+00	1.093149e-07
2.200000000000000e+00	2.200000e+00	1.091377e-07
2.250000000000000e+00	2.250000e+00	1.089591e-07
2.300000000000000e+00	2.300000e+00	1.087791e-07
2.350000000000000e+00	2.350000e+00	1.085976e-07
2.399999999999999e+00	2.400000e+00	1.084147e-07
2.449999999999999e+00	2.450000e+00	1.082302e-07
2.499999999999999e+00	2.500000e+00	1.080441e-07
2.549999999999999e+00	2.550000e+00	1.078564e-07
2.599999999999999e+00	2.600000e+00	1.076670e-07
2.649999999999999e+00	2.650000e+00	1.074760e-07
2.699999999999998e+00	2.700000e+00	1.072832e-07
2.749999999999998e+00	2.750000e+00	1.070886e-07
2.799999999999998e+00	2.800000e+00	1.068921e-07
2.849999999999998e+00	2.850000e+00	1.066938e-07
2.899999999999998e+00	2.900000e+00	1.064935e-07
2.949999999999998e+00	2.950000e+00	1.062912e-07
2.999999999999997e+00	3.000000e+00	1.060868e-07
3.049999999999997e+00	3.050000e+00	1.058802e-07
3.099999999999997e+00	3.100000e+00	1.056715e-07
3.149999999999997e+00	3.150000e+00	1.054605e-07
3.199999999999997e+00	3.200000e+00	1.052471e-07
3.249999999999996e+00	3.250000e+00	1.050313e-07
3.299999999999996e+00	3.300000e+00	1.048130e-07
3.349999999999996e+00	3.350000e+00	1.045921e-07
3.399999999999996e+00	3.400000e+00	1.043685e-07
3.449999999999996e+00	3.450000e+00	1.041421e-07
3.499999999999996e+00	3.500000e+00	1.039129e-07
3.549999999999995e+00	3.550000e+00	1.036806e-07
3.599999999999995e+00	3.600000e+00	1.034452e-07
3.649999999999995e+00	3.650000e+00	1.032065e-07
3.699999999999995e+00	3.700000e+00	1.029645e-07
3.749999999999995e+00	3.750000e+00	1.027190e-07
3.799999999999994e+00	3.800000e+00	1.024698e-07
3.849999999999994e+00	3.850000e+00	1.022167e-07
3.899999999999994e+00	3.900000e+00	1.019597e-07
3.949999999999994e+00	3.950000e+00	1.016985e-07
3.999999999999994e+00	4.000000e+00	1.014328e-07
4.049999999999994e+00	4.050000e+00	1.011626e-07
4.099999999999993e+00	4.100000e+00	1.008875e-07
4.149999999999993e+00	4.150000e+00	1.006073e-07
4.199999999999993e+00	4.200000e+00	1.003217e-07
4.249999999999993e+00	4.250000e+00	1.000304e-07
4.299999999999993e+00	4.300000e+00	9.973304e-08
4.349999999999993e+00	4.350000e+00	9.942929e-08
4.399999999999992e+00	4.400000e+00	9.911874e-08
4.449999999999992e+00	4.450000e+00	9.880091e-08
4.499999999999992e+00	4.500000e+00	9.847532e-08
4.549999999999992e+00	4.550000e+00	9.814138e-08
4.599999999999992e+00	4.600000e+00	9.779848e-08
4.649999999999991e+00	4.650000e+00	9.744581e-08
4.699999999999991e+00	4.700000e+00	9.708073e-08
4.749999999999991e+00	4.750000e+00	9.668958e-08
4.799999999999991e+00	4.800000e+00	9.618864e-08
4.849999999999991e+00	4.850000e+00	9.502256e-08
4.899999999999991e+00	4.900000e+00	8.983690e-08
4.949999999999990e+00	4.950000e+00	6.694414e-08
5.000000000000000e+00	5.000000e+00	-7.403068e-19
