vout	I(Iout_mod)	I(Vout)
0.000000000000000e+00	1.095532e-06	1.095532e-06
5.000000000000000e-02	1.094685e-06	1.094685e-06
1.000000000000000e-01	1.093833e-06	1.093833e-06
1.500000000000000e-01	1.092977e-06	1.092977e-06
2.000000000000000e-01	1.092115e-06	1.092115e-06
2.500000000000000e-01	1.091249e-06	1.091249e-06
3.000000000000000e-01	1.090377e-06	1.090377e-06
3.500000000000000e-01	1.089501e-06	1.089501e-06
4.000000000000000e-01	1.088619e-06	1.088619e-06
4.500000000000000e-01	1.087732e-06	1.087732e-06
4.999999999999999e-01	1.086839e-06	1.086839e-06
5.499999999999999e-01	1.085941e-06	1.085941e-06
6.000000000000000e-01	1.085038e-06	1.085038e-06
6.500000000000000e-01	1.084128e-06	1.084128e-06
7.000000000000001e-01	1.083213e-06	1.083213e-06
7.500000000000001e-01	1.082293e-06	1.082293e-06
8.000000000000002e-01	1.081366e-06	1.081366e-06
8.500000000000002e-01	1.080433e-06	1.080433e-06
9.000000000000002e-01	1.079494e-06	1.079494e-06
9.500000000000003e-01	1.078549e-06	1.078549e-06
1.000000000000000e+00	1.077598e-06	1.077598e-06
1.050000000000000e+00	1.076639e-06	1.076639e-06
1.100000000000000e+00	1.075675e-06	1.075675e-06
1.150000000000000e+00	1.074704e-06	1.074704e-06
1.200000000000000e+00	1.073725e-06	1.073725e-06
1.250000000000000e+00	1.072740e-06	1.072740e-06
1.300000000000000e+00	1.071748e-06	1.071748e-06
1.350000000000001e+00	1.070748e-06	1.070748e-06
1.400000000000001e+00	1.069741e-06	1.069741e-06
1.450000000000001e+00	1.068726e-06	1.068726e-06
1.500000000000001e+00	1.067704e-06	1.067704e-06
1.550000000000001e+00	1.066674e-06	1.066674e-06
1.600000000000001e+00	1.065636e-06	1.065636e-06
1.650000000000001e+00	1.064589e-06	1.064589e-06
1.700000000000001e+00	1.063534e-06	1.063534e-06
1.750000000000001e+00	1.062471e-06	1.062471e-06
1.800000000000001e+00	1.061399e-06	1.061399e-06
1.850000000000001e+00	1.060318e-06	1.060318e-06
1.900000000000001e+00	1.059228e-06	1.059228e-06
1.950000000000001e+00	1.058128e-06	1.058128e-06
2.000000000000001e+00	1.057019e-06	1.057019e-06
2.050000000000001e+00	1.055900e-06	1.055900e-06
2.100000000000001e+00	1.054771e-06	1.054771e-06
2.150000000000000e+00	1.053632e-06	1.053632e-06
2.200000000000000e+00	1.052483e-06	1.052483e-06
2.250000000000000e+00	1.051323e-06	1.051323e-06
2.300000000000000e+00	1.050151e-06	1.050151e-06
2.350000000000000e+00	1.048969e-06	1.048969e-06
2.399999999999999e+00	1.047775e-06	1.047775e-06
2.449999999999999e+00	1.046569e-06	1.046569e-06
2.499999999999999e+00	1.045350e-06	1.045350e-06
2.549999999999999e+00	1.044120e-06	1.044120e-06
2.599999999999999e+00	1.042876e-06	1.042876e-06
2.649999999999999e+00	1.041619e-06	1.041619e-06
2.699999999999998e+00	1.040349e-06	1.040349e-06
2.749999999999998e+00	1.039065e-06	1.039065e-06
2.799999999999998e+00	1.037766e-06	1.037766e-06
2.849999999999998e+00	1.036453e-06	1.036453e-06
2.899999999999998e+00	1.035124e-06	1.035124e-06
2.949999999999998e+00	1.033780e-06	1.033780e-06
2.999999999999997e+00	1.032419e-06	1.032419e-06
3.049999999999997e+00	1.031042e-06	1.031042e-06
3.099999999999997e+00	1.029648e-06	1.029648e-06
3.149999999999997e+00	1.028235e-06	1.028235e-06
3.199999999999997e+00	1.026805e-06	1.026805e-06
3.249999999999996e+00	1.025355e-06	1.025355e-06
3.299999999999996e+00	1.023886e-06	1.023886e-06
3.349999999999996e+00	1.022396e-06	1.022396e-06
3.399999999999996e+00	1.020885e-06	1.020885e-06
3.449999999999996e+00	1.019353e-06	1.019353e-06
3.499999999999996e+00	1.017797e-06	1.017797e-06
3.549999999999995e+00	1.016218e-06	1.016218e-06
3.599999999999995e+00	1.014615e-06	1.014615e-06
3.649999999999995e+00	1.012986e-06	1.012986e-06
3.699999999999995e+00	1.011330e-06	1.011330e-06
3.749999999999995e+00	1.009647e-06	1.009647e-06
3.799999999999994e+00	1.007935e-06	1.007935e-06
3.849999999999994e+00	1.006192e-06	1.006192e-06
3.899999999999994e+00	1.004418e-06	1.004418e-06
3.949999999999994e+00	1.002611e-06	1.002611e-06
3.999999999999994e+00	1.000769e-06	1.000769e-06
4.049999999999994e+00	9.988913e-07	9.988913e-07
4.099999999999993e+00	9.969750e-07	9.969750e-07
4.149999999999993e+00	9.950186e-07	9.950186e-07
4.199999999999993e+00	9.930197e-07	9.930197e-07
4.249999999999993e+00	9.909762e-07	9.909762e-07
4.299999999999993e+00	9.888854e-07	9.888854e-07
4.349999999999993e+00	9.867446e-07	9.867446e-07
4.399999999999992e+00	9.845506e-07	9.845506e-07
4.449999999999992e+00	9.823003e-07	9.823003e-07
4.499999999999992e+00	9.799893e-07	9.799893e-07
4.549999999999992e+00	9.776106e-07	9.776106e-07
4.599999999999992e+00	9.751277e-07	9.751277e-07
4.649999999999991e+00	9.721733e-07	9.721733e-07
4.699999999999991e+00	9.666015e-07	9.666015e-07
4.749999999999991e+00	9.488524e-07	9.488524e-07
4.799999999999991e+00	8.972368e-07	8.972368e-07
4.849999999999991e+00	7.886280e-07	7.886280e-07
4.899999999999991e+00	6.075955e-07	6.075955e-07
4.949999999999990e+00	3.461792e-07	3.461792e-07
5.000000000000000e+00	-1.368805e-18	-1.368805e-18
