vout	I(Iout_strong)	I(Vout)
0.000000000000000e+00	1.013436e-04	1.013436e-04
5.000000000000000e-02	1.012763e-04	1.012763e-04
1.000000000000000e-01	1.012082e-04	1.012082e-04
1.500000000000000e-01	1.011392e-04	1.011392e-04
2.000000000000000e-01	1.010693e-04	1.010693e-04
2.500000000000000e-01	1.009984e-04	1.009984e-04
3.000000000000000e-01	1.009267e-04	1.009267e-04
3.500000000000000e-01	1.008540e-04	1.008540e-04
4.000000000000000e-01	1.007803e-04	1.007803e-04
4.500000000000000e-01	1.007056e-04	1.007056e-04
4.999999999999999e-01	1.006298e-04	1.006298e-04
5.499999999999999e-01	1.005529e-04	1.005529e-04
6.000000000000000e-01	1.004749e-04	1.004749e-04
6.500000000000000e-01	1.003958e-04	1.003958e-04
7.000000000000001e-01	1.003154e-04	1.003154e-04
7.500000000000001e-01	1.002338e-04	1.002338e-04
8.000000000000002e-01	1.001510e-04	1.001510e-04
8.500000000000002e-01	1.000668e-04	1.000668e-04
9.000000000000002e-01	9.998125e-05	9.998125e-05
9.500000000000003e-01	9.989429e-05	9.989429e-05
1.000000000000000e+00	9.980588e-05	9.980588e-05
1.050000000000000e+00	9.971596e-05	9.971596e-05
1.100000000000000e+00	9.962447e-05	9.962447e-05
1.150000000000000e+00	9.953135e-05	9.953135e-05
1.200000000000000e+00	9.943656e-05	9.943656e-05
1.250000000000000e+00	9.934002e-05	9.934002e-05
1.300000000000000e+00	9.924166e-05	9.924166e-05
1.350000000000001e+00	9.914143e-05	9.914143e-05
1.400000000000001e+00	9.903925e-05	9.903925e-05
1.450000000000001e+00	9.893504e-05	9.893504e-05
1.500000000000001e+00	9.882873e-05	9.882873e-05
1.550000000000001e+00	9.872023e-05	9.872023e-05
1.600000000000001e+00	9.860945e-05	9.860945e-05
1.650000000000001e+00	9.849630e-05	9.849630e-05
1.700000000000001e+00	9.838067e-05	9.838067e-05
1.750000000000001e+00	9.826244e-05	9.826244e-05
1.800000000000001e+00	9.814143e-05	9.814143e-05
1.850000000000001e+00	9.801741e-05	9.801741e-05
1.900000000000001e+00	9.788997e-05	9.788997e-05
1.950000000000001e+00	9.775812e-05	9.775812e-05
2.000000000000001e+00	9.761930e-05	9.761930e-05
2.050000000000001e+00	9.746959e-05	9.746959e-05
2.100000000000001e+00	9.730512e-05	9.730512e-05
2.150000000000000e+00	9.712207e-05	9.712207e-05
2.200000000000000e+00	9.691599e-05	9.691599e-05
2.250000000000000e+00	9.668167e-05	9.668167e-05
2.300000000000000e+00	9.641345e-05	9.641345e-05
2.350000000000000e+00	9.610575e-05	9.610575e-05
2.399999999999999e+00	9.575365e-05	9.575365e-05
2.449999999999999e+00	9.535308e-05	9.535308e-05
2.499999999999999e+00	9.490095e-05	9.490095e-05
2.549999999999999e+00	9.439492e-05	9.439492e-05
2.599999999999999e+00	9.383335e-05	9.383335e-05
2.649999999999999e+00	9.321504e-05	9.321504e-05
2.699999999999998e+00	9.253920e-05	9.253920e-05
2.749999999999998e+00	9.180526e-05	9.180526e-05
2.799999999999998e+00	9.101287e-05	9.101287e-05
2.849999999999998e+00	9.016179e-05	9.016179e-05
2.899999999999998e+00	8.925192e-05	8.925192e-05
2.949999999999998e+00	8.828322e-05	8.828322e-05
2.999999999999997e+00	8.725571e-05	8.725571e-05
3.049999999999997e+00	8.616946e-05	8.616946e-05
3.099999999999997e+00	8.502457e-05	8.502457e-05
3.149999999999997e+00	8.382116e-05	8.382116e-05
3.199999999999997e+00	8.255938e-05	8.255938e-05
3.249999999999996e+00	8.123941e-05	8.123941e-05
3.299999999999996e+00	7.986143e-05	7.986143e-05
3.349999999999996e+00	7.842561e-05	7.842561e-05
3.399999999999996e+00	7.693218e-05	7.693218e-05
3.449999999999996e+00	7.538131e-05	7.538131e-05
3.499999999999996e+00	7.377325e-05	7.377325e-05
3.549999999999995e+00	7.210818e-05	7.210818e-05
3.599999999999995e+00	7.038634e-05	7.038634e-05
3.649999999999995e+00	6.860794e-05	6.860794e-05
3.699999999999995e+00	6.677320e-05	6.677320e-05
3.749999999999995e+00	6.488235e-05	6.488235e-05
3.799999999999994e+00	6.293560e-05	6.293560e-05
3.849999999999994e+00	6.093318e-05	6.093318e-05
3.899999999999994e+00	5.887530e-05	5.887530e-05
3.949999999999994e+00	5.676219e-05	5.676219e-05
3.999999999999994e+00	5.459407e-05	5.459407e-05
4.049999999999994e+00	5.237115e-05	5.237115e-05
4.099999999999993e+00	5.009365e-05	5.009365e-05
4.149999999999993e+00	4.776179e-05	4.776179e-05
4.199999999999993e+00	4.537577e-05	4.537577e-05
4.249999999999993e+00	4.293580e-05	4.293580e-05
4.299999999999993e+00	4.044210e-05	4.044210e-05
4.349999999999993e+00	3.789486e-05	3.789486e-05
4.399999999999992e+00	3.529431e-05	3.529431e-05
4.449999999999992e+00	3.264062e-05	3.264062e-05
4.499999999999992e+00	2.993401e-05	2.993401e-05
4.549999999999992e+00	2.717468e-05	2.717468e-05
4.599999999999992e+00	2.436282e-05	2.436282e-05
4.649999999999991e+00	2.149862e-05	2.149862e-05
4.699999999999991e+00	1.858228e-05	1.858228e-05
4.749999999999991e+00	1.561398e-05	1.561398e-05
4.799999999999991e+00	1.259393e-05	1.259393e-05
4.849999999999991e+00	9.522317e-06	9.522317e-06
4.899999999999991e+00	6.399325e-06	6.399325e-06
4.949999999999990e+00	3.225153e-06	3.225153e-06
5.000000000000000e+00	-1.138412e-18	-1.138412e-18
