vdm	V(n001)	I(V1)	I(V3)
-2.000000000000000e-01	2.543152e+00	6.154075e-11	3.337419e-08
-1.996000000000000e-01	2.543151e+00	6.229964e-11	3.337343e-08
-1.992000000000000e-01	2.543150e+00	6.306917e-11	3.337266e-08
-1.988000000000000e-01	2.543149e+00	6.384950e-11	3.337188e-08
-1.984000000000000e-01	2.543149e+00	6.464079e-11	3.337109e-08
-1.980000000000000e-01	2.543148e+00	6.544316e-11	3.337029e-08
-1.975999999999999e-01	2.543147e+00	6.625680e-11	3.336948e-08
-1.971999999999999e-01	2.543146e+00	6.708185e-11	3.336866e-08
-1.967999999999999e-01	2.543145e+00	6.791847e-11	3.336782e-08
-1.963999999999999e-01	2.543144e+00	6.876681e-11	3.336697e-08
-1.959999999999999e-01	2.543143e+00	6.962706e-11	3.336611e-08
-1.955999999999999e-01	2.543142e+00	7.049936e-11	3.336524e-08
-1.951999999999999e-01	2.543141e+00	7.138389e-11	3.336436e-08
-1.947999999999999e-01	2.543139e+00	7.228082e-11	3.336347e-08
-1.943999999999999e-01	2.543139e+00	7.319031e-11	3.336256e-08
-1.939999999999998e-01	2.543137e+00	7.411256e-11	3.336164e-08
-1.935999999999998e-01	2.543136e+00	7.504772e-11	3.336070e-08
-1.931999999999998e-01	2.543135e+00	7.599599e-11	3.335976e-08
-1.927999999999998e-01	2.543134e+00	7.695754e-11	3.335879e-08
-1.923999999999998e-01	2.543133e+00	7.793256e-11	3.335782e-08
-1.919999999999998e-01	2.543132e+00	7.892122e-11	3.335684e-08
-1.915999999999998e-01	2.543131e+00	7.992373e-11	3.335584e-08
-1.911999999999998e-01	2.543129e+00	8.094029e-11	3.335482e-08
-1.907999999999997e-01	2.543128e+00	8.197107e-11	3.335379e-08
-1.903999999999997e-01	2.543127e+00	8.301627e-11	3.335275e-08
-1.899999999999997e-01	2.543126e+00	8.407611e-11	3.335169e-08
-1.895999999999997e-01	2.543124e+00	8.515078e-11	3.335062e-08
-1.891999999999997e-01	2.543123e+00	8.624048e-11	3.334953e-08
-1.887999999999997e-01	2.543122e+00	8.734542e-11	3.334842e-08
-1.883999999999997e-01	2.543121e+00	8.846582e-11	3.334731e-08
-1.879999999999997e-01	2.543119e+00	8.960190e-11	3.334617e-08
-1.875999999999997e-01	2.543118e+00	9.075385e-11	3.334502e-08
-1.871999999999996e-01	2.543117e+00	9.192191e-11	3.334386e-08
-1.867999999999996e-01	2.543115e+00	9.310630e-11	3.334267e-08
-1.863999999999996e-01	2.543114e+00	9.430725e-11	3.334148e-08
-1.859999999999996e-01	2.543112e+00	9.552497e-11	3.334026e-08
-1.855999999999996e-01	2.543111e+00	9.675971e-11	3.333903e-08
-1.851999999999996e-01	2.543109e+00	9.801170e-11	3.333778e-08
-1.847999999999996e-01	2.543108e+00	9.928118e-11	3.333651e-08
-1.843999999999996e-01	2.543107e+00	1.005684e-10	3.333522e-08
-1.839999999999996e-01	2.543105e+00	1.018736e-10	3.333392e-08
-1.835999999999995e-01	2.543103e+00	1.031970e-10	3.333260e-08
-1.831999999999995e-01	2.543102e+00	1.045388e-10	3.333126e-08
-1.827999999999995e-01	2.543100e+00	1.058994e-10	3.332990e-08
