vdm	V(n001)	I(V1)	I(V2)	I(V3)
-2.000000000000000e-01	3.445214e+00	6.432748e-11	0.000000e+00	3.201147e-08
-1.996000000000000e-01	3.445213e+00	6.510731e-11	0.000000e+00	3.201070e-08
-1.992000000000000e-01	3.445212e+00	6.589783e-11	0.000000e+00	3.200991e-08
-1.988000000000000e-01	3.445211e+00	6.669919e-11	0.000000e+00	3.200910e-08
-1.984000000000000e-01	3.445210e+00	6.751155e-11	0.000000e+00	3.200829e-08
-1.980000000000000e-01	3.445209e+00	6.833504e-11	0.000000e+00	3.200747e-08
-1.975999999999999e-01	3.445208e+00	6.916982e-11	0.000000e+00	3.200664e-08
-1.971999999999999e-01	3.445207e+00	7.001605e-11	0.000000e+00	3.200580e-08
-1.967999999999999e-01	3.445206e+00	7.087388e-11	0.000000e+00	3.200494e-08
-1.963999999999999e-01	3.445205e+00	7.174345e-11	0.000000e+00	3.200407e-08
-1.959999999999999e-01	3.445204e+00	7.262495e-11	0.000000e+00	3.200319e-08
-1.955999999999999e-01	3.445203e+00	7.351853e-11	0.000000e+00	3.200230e-08
-1.951999999999999e-01	3.445202e+00	7.442435e-11	0.000000e+00	3.200140e-08
-1.947999999999999e-01	3.445201e+00	7.534258e-11	0.000000e+00	3.200048e-08
-1.943999999999999e-01	3.445200e+00	7.627338e-11	0.000000e+00	3.199955e-08
-1.939999999999998e-01	3.445199e+00	7.721694e-11	0.000000e+00	3.199861e-08
-1.935999999999998e-01	3.445198e+00	7.817342e-11	0.000000e+00	3.199765e-08
-1.931999999999998e-01	3.445196e+00	7.914300e-11	0.000000e+00	3.199669e-08
-1.927999999999998e-01	3.445195e+00	8.012585e-11	0.000000e+00	3.199571e-08
-1.923999999999998e-01	3.445194e+00	8.112216e-11	0.000000e+00	3.199471e-08
-1.919999999999998e-01	3.445193e+00	8.213210e-11	0.000000e+00	3.199370e-08
-1.915999999999998e-01	3.445192e+00	8.315586e-11	0.000000e+00	3.199268e-08
-1.911999999999998e-01	3.445190e+00	8.419365e-11	0.000000e+00	3.199165e-08
-1.907999999999997e-01	3.445189e+00	8.524562e-11	0.000000e+00	3.199060e-08
-1.903999999999997e-01	3.445188e+00	8.631199e-11	0.000000e+00	3.198953e-08
-1.899999999999997e-01	3.445187e+00	8.739295e-11	0.000000e+00	3.198845e-08
-1.895999999999997e-01	3.445185e+00	8.848870e-11	0.000000e+00	3.198736e-08
-1.891999999999997e-01	3.445184e+00	8.959943e-11	0.000000e+00	3.198625e-08
-1.887999999999997e-01	3.445183e+00	9.072535e-11	0.000000e+00	3.198513e-08
-1.883999999999997e-01	3.445181e+00	9.186667e-11	0.000000e+00	3.198399e-08
-1.879999999999997e-01	3.445180e+00	9.302358e-11	0.000000e+00	3.198283e-08
-1.875999999999997e-01	3.445179e+00	9.419631e-11	0.000000e+00	3.198166e-08
