vdm	V(n001)	I(V1)	I(V2)	I(V3)
-2.000000000000000e-01	3.543139e+00	2.366169e-09	0.000000e+00	2.167263e-07
-1.996000000000000e-01	3.543130e+00	2.396407e-09	0.000000e+00	2.166962e-07
-1.992000000000000e-01	3.543120e+00	2.427005e-09	0.000000e+00	2.166656e-07
-1.988000000000000e-01	3.543110e+00	2.457968e-09	0.000000e+00	2.166348e-07
-1.984000000000000e-01	3.543100e+00	2.489298e-09	0.000000e+00	2.166035e-07
-1.980000000000000e-01	3.543089e+00	2.521000e-09	0.000000e+00	2.165719e-07
-1.975999999999999e-01	3.543079e+00	2.553078e-09	0.000000e+00	2.165399e-07
-1.971999999999999e-01	3.543068e+00	2.585535e-09	0.000000e+00	2.165076e-07
-1.967999999999999e-01	3.543058e+00	2.618375e-09	0.000000e+00	2.164748e-07
-1.963999999999999e-01	3.543047e+00	2.651601e-09	0.000000e+00	2.164417e-07
-1.959999999999999e-01	3.543036e+00	2.685219e-09	0.000000e+00	2.164082e-07
-1.955999999999999e-01	3.543025e+00	2.719230e-09	0.000000e+00	2.163742e-07
-1.951999999999999e-01	3.543014e+00	2.753640e-09	0.000000e+00	2.163399e-07
-1.947999999999999e-01	3.543003e+00	2.788453e-09	0.000000e+00	2.163052e-07
-1.943999999999999e-01	3.542991e+00	2.823671e-09	0.000000e+00	2.162701e-07
-1.939999999999998e-01	3.542980e+00	2.859300e-09	0.000000e+00	2.162346e-07
-1.935999999999998e-01	3.542968e+00	2.895342e-09	0.000000e+00	2.161986e-07
-1.931999999999998e-01	3.542956e+00	2.931803e-09	0.000000e+00	2.161623e-07
-1.927999999999998e-01	3.542944e+00	2.968685e-09	0.000000e+00	2.161255e-07
-1.923999999999998e-01	3.542932e+00	3.005994e-09	0.000000e+00	2.160883e-07
-1.919999999999998e-01	3.542920e+00	3.043732e-09	0.000000e+00	2.160507e-07
-1.915999999999998e-01	3.542908e+00	3.081905e-09	0.000000e+00	2.160126e-07
