v_b,i_1
-0.2,1.42e-05
-0.19595959595959597,1.42e-05
-0.19191919191919193,1.4099999999999999e-05
-0.1878787878787879,1.4e-05
-0.18383838383838386,1.4e-05
-0.17979797979797982,1.3899999999999999e-05
-0.17575757575757578,1.38e-05
-0.1717171717171717,1.37e-05
-0.1676767676767677,1.3599999999999999e-05
-0.16363636363636364,1.35e-05
-0.15959595959595962,1.3399999999999999e-05
-0.15555555555555556,1.3399999999999999e-05
-0.15151515151515152,1.3199999999999999e-05
-0.14747474747474748,1.31e-05
-0.14343434343434344,1.3e-05
-0.1393939393939394,1.29e-05
-0.13535353535353536,1.28e-05
-0.13131313131313133,1.2699999999999999e-05
-0.1272727272727273,1.2499999999999999e-05
-0.12323232323232325,1.24e-05
-0.11919191919191921,1.2299999999999999e-05
-0.11515151515151516,1.21e-05
-0.11111111111111112,1.2e-05
-0.10707070707070708,1.19e-05
-0.10303030303030304,1.17e-05
-0.098989898989899,1.1599999999999999e-05
-0.09494949494949496,1.14e-05
-0.09090909090909093,1.13e-05
-0.08686868686868687,1.1099999999999999e-05
-0.08282828282828283,1.1e-05
-0.0787878787878788,1.08e-05
-0.07474747474747476,1.06e-05
-0.07070707070707072,1.05e-05
-0.06666666666666668,1.03e-05
-0.06262626262626264,1.01e-05
-0.0585858585858586,9.9e-06
-0.054545454545454564,9.8e-06
-0.050505050505050525,9.6e-06
-0.046464646464646486,9.4e-06
-0.04242424242424245,9.2e-06
-0.03838383838383841,9e-06
-0.03434343434343434,8.8e-06
-0.030303030303030304,8.599999999999999e-06
-0.026262626262626265,8.4e-06
-0.022222222222222227,8.2e-06
-0.018181818181818188,8.1e-06
-0.01414141414141415,7.8e-06
-0.01010101010101011,7.6e-06
-0.006060606060606072,7.3999999999999995e-06
-0.002020202020202033,7.2999999999999996e-06
0.0020202020202020055,7e-06
0.006060606060606044,6.9e-06
0.010101010101010083,6.699999999999999e-06
0.014141414141414121,6.5e-06
0.01818181818181816,6.3e-06
0.0222222222222222,6.1e-06
0.026262626262626265,5.899999999999999e-06
0.030303030303030304,5.7e-06
0.03434343434343434,5.5e-06
0.03838383838383838,5.3e-06
0.04242424242424242,5.0999999999999995e-06
0.04646464646464646,4.9999999999999996e-06
0.0505050505050505,4.8e-06
0.05454545454545451,4.6e-06
0.058585858585858575,4.4e-06
0.06262626262626264,4.2999999999999995e-06
0.06666666666666665,4.1e-06
0.07070707070707072,3.9e-06
0.07474747474747473,3.6999999999999997e-06
0.0787878787878788,3.5e-06
0.0828282828282828,3.3999999999999996e-06
0.08686868686868687,3.2e-06
0.09090909090909088,3.1e-06
0.09494949494949495,2.8999999999999998e-06
0.09898989898989896,2.8e-06
0.10303030303030303,2.5999999999999997e-06
0.10707070707070704,2.4999999999999998e-06
0.1111111111111111,2.3e-06
0.11515151515151512,2.2e-06
0.11919191919191918,2e-06
0.1232323232323232,1.9e-06
0.12727272727272726,1.6999999999999998e-06
0.13131313131313133,1.6e-06
0.13535353535353534,1.5e-06
0.1393939393939394,1.4e-06
0.14343434343434341,1.2999999999999998e-06
0.14747474747474748,1.2e-06
0.1515151515151515,1e-06
0.15555555555555556,9e-07
0.15959595959595957,8e-07
0.16363636363636364,7e-07
0.16767676767676765,7e-07
0.1717171717171717,6e-07
0.17575757575757572,5e-07
0.1797979797979798,4e-07
0.1838383838383838,3e-07
0.18787878787878787,3e-07
0.19191919191919193,2e-07
0.19595959595959594,1e-07
0.2,0.0
