v_b,i_2
-0.2,1.501e-05
-0.19595959595959597,1.498e-05
-0.19191919191919193,1.491e-05
-0.1878787878787879,1.485e-05
-0.18383838383838386,1.478e-05
-0.17979797979797982,1.471e-05
-0.17575757575757578,1.464e-05
-0.1717171717171717,1.455e-05
-0.1676767676767677,1.446e-05
-0.16363636363636364,1.438e-05
-0.15959595959595962,1.428e-05
-0.15555555555555556,1.419e-05
-0.15151515151515152,1.408e-05
-0.14747474747474748,1.398e-05
-0.14343434343434344,1.3870000000000001e-05
-0.1393939393939394,1.376e-05
-0.13535353535353536,1.363e-05
-0.13131313131313133,1.3520000000000001e-05
-0.1272727272727273,1.339e-05
-0.12323232323232325,1.325e-05
-0.11919191919191921,1.312e-05
-0.11515151515151516,1.2980000000000001e-05
-0.11111111111111112,1.284e-05
-0.10707070707070708,1.27e-05
-0.10303030303030304,1.256e-05
-0.098989898989899,1.241e-05
-0.09494949494949496,1.226e-05
-0.09090909090909093,1.2110000000000001e-05
-0.08686868686868687,1.195e-05
-0.08282828282828283,1.179e-05
-0.0787878787878788,1.163e-05
-0.07474747474747476,1.146e-05
-0.07070707070707072,1.128e-05
-0.06666666666666668,1.112e-05
-0.06262626262626264,1.094e-05
-0.0585858585858586,1.076e-05
-0.054545454545454564,1.057e-05
-0.050505050505050525,1.039e-05
-0.046464646464646486,1.021e-05
-0.04242424242424245,1.001e-05
-0.03838383838383841,9.820000000000001e-06
-0.03434343434343434,9.640000000000001e-06
-0.030303030303030304,9.450000000000001e-06
-0.026262626262626265,9.25e-06
-0.022222222222222227,9.04e-06
-0.018181818181818188,8.83e-06
-0.01414141414141415,8.64e-06
-0.01010101010101011,8.45e-06
-0.006060606060606072,8.25e-06
-0.002020202020202033,8.040000000000001e-06
0.0020202020202020055,7.85e-06
0.006060606060606044,7.65e-06
0.010101010101010083,7.45e-06
0.014141414141414121,7.26e-06
0.01818181818181816,7.07e-06
0.0222222222222222,6.87e-06
0.026262626262626265,6.6700000000000005e-06
0.030303030303030304,6.47e-06
0.03434343434343434,6.28e-06
0.03838383838383838,6.09e-06
0.04242424242424242,5.9e-06
0.04646464646464646,5.71e-06
0.0505050505050505,5.53e-06
0.05454545454545451,5.3500000000000004e-06
0.058585858585858575,5.16e-06
0.06262626262626264,4.98e-06
0.06666666666666665,4.8e-06
0.07070707070707072,4.63e-06
0.07474747474747473,4.4600000000000005e-06
0.0787878787878788,4.27e-06
0.0828282828282828,4.1e-06
0.08686868686868687,3.9300000000000005e-06
0.09090909090909088,3.77e-06
0.09494949494949495,3.6000000000000003e-06
0.09898989898989896,3.45e-06
0.10303030303030303,3.2900000000000003e-06
0.10707070707070704,3.14e-06
0.1111111111111111,3e-06
0.11515151515151512,2.84e-06
0.11919191919191918,2.7e-06
0.1232323232323232,2.57e-06
0.12727272727272726,2.42e-06
0.13131313131313133,2.28e-06
0.13535353535353534,2.15e-06
0.1393939393939394,2.03e-06
0.14343434343434341,1.91e-06
0.14747474747474748,1.8000000000000001e-06
0.1515151515151515,1.68e-06
0.15555555555555556,1.5800000000000001e-06
0.15959595959595957,1.48e-06
0.16363636363636364,1.3800000000000001e-06
0.16767676767676765,1.28e-06
0.1717171717171717,1.2e-06
0.17575757575757572,1.1e-06
0.1797979797979798,1.02e-06
0.1838383838383838,9.4e-07
0.18787878787878787,8.7e-07
0.19191919191919193,8e-07
0.19595959595959594,7.3e-07
0.2,6.7e-07
