v_b,v
-0.2,1.184
-0.19595959595959597,1.185
-0.19191919191919193,1.185
-0.1878787878787879,1.186
-0.18383838383838386,1.186
-0.17979797979797982,1.186
-0.17575757575757578,1.187
-0.1717171717171717,1.187
-0.1676767676767677,1.188
-0.16363636363636364,1.188
-0.15959595959595962,1.189
-0.15555555555555556,1.189
-0.15151515151515152,1.19
-0.14747474747474748,1.191
-0.14343434343434344,1.191
-0.1393939393939394,1.192
-0.13535353535353536,1.193
-0.13131313131313133,1.193
-0.1272727272727273,1.194
-0.12323232323232325,1.195
-0.11919191919191921,1.196
-0.11515151515151516,1.197
-0.11111111111111112,1.197
-0.10707070707070708,1.198
-0.10303030303030304,1.199
-0.098989898989899,1.2
-0.09494949494949496,1.201
-0.09090909090909093,1.202
-0.08686868686868687,1.203
-0.08282828282828283,1.204
-0.0787878787878788,1.205
-0.07474747474747476,1.206
-0.07070707070707072,1.207
-0.06666666666666668,1.208
-0.06262626262626264,1.209
-0.0585858585858586,1.211
-0.054545454545454564,1.212
-0.050505050505050525,1.213
-0.046464646464646486,1.214
-0.04242424242424245,1.216
-0.03838383838383841,1.217
-0.03434343434343434,1.218
-0.030303030303030304,1.22
-0.026262626262626265,1.221
-0.022222222222222227,1.223
-0.018181818181818188,1.224
-0.01414141414141415,1.226
-0.01010101010101011,1.227
-0.006060606060606072,1.229
-0.002020202020202033,1.23
0.0020202020202020055,1.232
0.006060606060606044,1.234
0.010101010101010083,1.235
0.014141414141414121,1.237
0.01818181818181816,1.238
0.0222222222222222,1.24
0.026262626262626265,1.242
0.030303030303030304,1.244
0.03434343434343434,1.246
0.03838383838383838,1.247
0.04242424242424242,1.249
0.04646464646464646,1.2510000000000001
0.0505050505050505,1.2530000000000001
0.05454545454545451,1.254
0.058585858585858575,1.256
0.06262626262626264,1.258
0.06666666666666665,1.26
0.07070707070707072,1.262
0.07474747474747473,1.264
0.0787878787878788,1.266
0.0828282828282828,1.268
0.08686868686868687,1.27
0.09090909090909088,1.2730000000000001
0.09494949494949495,1.2750000000000001
0.09898989898989896,1.2770000000000001
0.10303030303030303,1.2790000000000001
0.10707070707070704,1.281
0.1111111111111111,1.283
0.11515151515151512,1.286
0.11919191919191918,1.288
0.1232323232323232,1.29
0.12727272727272726,1.293
0.13131313131313133,1.295
0.13535353535353534,1.297
0.1393939393939394,1.3
0.14343434343434341,1.302
0.14747474747474748,1.305
0.1515151515151515,1.307
0.15555555555555556,1.31
0.15959595959595957,1.312
0.16363636363636364,1.314
0.16767676767676765,1.317
0.1717171717171717,1.319
0.17575757575757572,1.322
0.1797979797979798,1.325
0.1838383838383838,1.328
0.18787878787878787,1.33
0.19191919191919193,1.333
0.19595959595959594,1.336
0.2,1.338
