,vdm,v,i1,i2
0,-0.23,2.846,4.17e-08,6.4e-06
1,-0.2253535353535353,2.846,5.02e-08,6.9300000000000006e-06
2,-0.2207070707070707,2.846,5.450000000000001e-08,6.9300000000000006e-06
3,-0.216060606060606,2.846,6.510000000000002e-08,6.92e-06
4,-0.2114141414141414,2.848,7.3e-08,6.91e-06
5,-0.2067676767676767,2.848,8.42e-08,6.9e-06
6,-0.2021212121212121,2.848,9.95e-08,6.89e-06
7,-0.1974747474747474,2.848,1.084e-07,6.88e-06
8,-0.1928282828282828,2.848,1.2670000000000004e-07,6.86e-06
9,-0.1881818181818181,2.848,1.441e-07,6.84e-06
10,-0.1835353535353535,2.848,1.631e-07,6.82e-06
11,-0.1788888888888889,2.848,1.844e-07,6.8e-06
12,-0.1742424242424242,2.848,2.1e-07,6.78e-06
13,-0.1695959595959596,2.848,2.3600000000000002e-07,6.74e-06
14,-0.1649494949494949,2.848,2.65e-07,6.72e-06
15,-0.1603030303030303,2.848,2.99e-07,6.69e-06
16,-0.1556565656565656,2.85,3.35e-07,6.65e-06
17,-0.151010101010101,2.85,3.7100000000000003e-07,6.61e-06
18,-0.1463636363636363,2.85,4.2e-07,6.57e-06
19,-0.1417171717171717,2.85,4.700000000000001e-07,6.51e-06
20,-0.137070707070707,2.852,5.180000000000001e-07,6.47e-06
21,-0.1324242424242424,2.852,5.730000000000001e-07,6.4100000000000005e-06
22,-0.1277777777777777,2.852,6.25e-07,6.35e-06
23,-0.1231313131313131,2.852,6.890000000000001e-07,6.29e-06
24,-0.1184848484848484,2.854,7.57e-07,6.22e-06
25,-0.1138383838383838,2.854,8.270000000000001e-07,6.15e-06
26,-0.1091919191919191,2.856,9.1e-07,6.08e-06
27,-0.1045454545454545,2.856,9.85e-07,6e-06
28,-0.0998989898989899,2.856,1.0590000000000002e-06,5.92e-06
29,-0.0952525252525252,2.858,1.148e-06,5.84e-06
30,-0.0906060606060606,2.858,1.2450000000000002e-06,5.74e-06
31,-0.0859595959595959,2.86,1.334e-06,5.65e-06
32,-0.0813131313131313,2.86,1.432e-06,5.55e-06
33,-0.0766666666666666,2.862,1.5410000000000002e-06,5.45e-06
34,-0.072020202020202,2.862,1.639e-06,5.35e-06
35,-0.0673737373737373,2.864,1.74e-06,5.24e-06
36,-0.0627272727272727,2.864,1.861e-06,5.13e-06
37,-0.058080808080808,2.866,1.975e-06,5.01e-06
38,-0.0534343434343434,2.868,2.04e-06,4.9000000000000005e-06
39,-0.0487878787878787,2.868,2.15e-06,4.78e-06
40,-0.0441414141414141,2.87,2.29e-06,4.65e-06
41,-0.0394949494949495,2.872,2.41e-06,4.52e-06
42,-0.0348484848484848,2.874,2.54e-06,4.39e-06
43,-0.0302020202020202,2.874,2.68e-06,4.25e-06
44,-0.0255555555555555,2.876,2.81e-06,4.12e-06
45,-0.0209090909090909,2.878,2.94e-06,4e-06
46,-0.0162626262626262,2.88,3.0700000000000003e-06,3.86e-06
47,-0.0116161616161616,2.882,3.22e-06,3.72e-06
48,-0.0069696969696969,2.884,3.35e-06,3.59e-06
49,-0.0023232323232323,2.886,3.48e-06,3.45e-06
50,0.0023232323232323,2.888,3.63e-06,3.31e-06
51,0.0069696969696969,2.89,3.76e-06,3.18e-06
52,0.0116161616161616,2.892,3.88e-06,3.05e-06
53,0.0162626262626262,2.894,4.03e-06,2.9e-06
54,0.0209090909090909,2.896,4.16e-06,2.78e-06
55,0.0255555555555555,2.898,4.28e-06,2.65e-06
56,0.0302020202020202,2.9,4.4e-06,2.53e-06
57,0.0348484848484848,2.902,4.54e-06,2.4e-06
58,0.0394949494949495,2.906,4.66e-06,2.27e-06
59,0.0441414141414141,2.908,4.78e-06,2.16e-06
60,0.0487878787878788,2.91,4.91e-06,2.03e-06
61,0.0534343434343434,2.912,5.02e-06,1.91e-06
62,0.058080808080808,2.914,5.14e-06,1.8e-06
63,0.0627272727272727,2.918,5.24e-06,1.69e-06
64,0.0673737373737373,2.92,5.36e-06,1.57e-06
65,0.072020202020202,2.922,5.46e-06,1.47e-06
66,0.0766666666666666,2.926,5.56e-06,1.38e-06
67,0.0813131313131313,2.928,5.67e-06,1.27e-06
68,0.0859595959595959,2.932,5.75e-06,1.18e-06
69,0.0906060606060606,2.934,5.84e-06,1.09e-06
70,0.0952525252525252,2.938,5.93e-06,1e-06
71,0.0998989898989899,2.94,6.02e-06,9.64e-07
72,0.1045454545454545,2.944,6.09e-06,8.890000000000001e-07
73,0.1091919191919192,2.946,6.16e-06,8.170000000000001e-07
74,0.1138383838383838,2.95,6.2300000000000005e-06,7.480000000000001e-07
75,0.1184848484848485,2.952,6.3e-06,6.790000000000001e-07
76,0.1231313131313131,2.956,6.36e-06,6.22e-07
77,0.1277777777777778,2.96,6.42e-06,5.58e-07
78,0.1324242424242424,2.962,6.47e-06,5.06e-07
79,0.1370707070707071,2.966,6.52e-06,4.59e-07
80,0.1417171717171717,2.968,6.57e-06,4.1900000000000003e-07
81,0.1463636363636364,2.972,6.61e-06,3.6700000000000004e-07
82,0.151010101010101,2.976,6.65e-06,3.29e-07
83,0.1556565656565657,2.978,6.68e-06,2.94e-07
84,0.1603030303030303,2.982,6.72e-06,2.6e-07
85,0.1649494949494949,2.986,6.74e-06,2.3800000000000001e-07
86,0.1695959595959596,2.99,6.78e-06,2.0700000000000001e-07
87,0.1742424242424242,2.992,6.79e-06,1.8800000000000002e-07
88,0.1788888888888889,2.996,6.82e-06,1.5600000000000002e-07
89,0.1835353535353535,3.0,6.84e-06,1.3900000000000001e-07
90,0.1881818181818182,3.004,6.8500000000000005e-06,1.2000000000000004e-07
91,0.1928282828282828,3.008,6.88e-06,1.08e-07
92,0.1974747474747475,3.012,6.89e-06,9.540000000000001e-08
93,0.2021212121212121,3.016,6.9e-06,8.660000000000002e-08
94,0.2067676767676768,3.018,6.91e-06,7.38e-08
95,0.2114141414141414,3.022,6.92e-06,6.59e-08
96,0.2160606060606061,3.026,6.9300000000000006e-06,5.68e-08
97,0.2207070707070707,3.03,6.9300000000000006e-06,4.87e-08
98,0.2253535353535354,3.0340000000000003,6.9400000000000005e-06,4.22e-08
99,0.23,3.0380000000000003,6.95e-06,3.5200000000000004e-08
