vdm	Ix(M1:DRAIN)	Ix(M2:SOURCE)
-2.000000000000000e-01	-7.690801e-13	-1.525109e-12
-1.996000000000000e-01	-7.691266e-13	-1.525019e-12
-1.992000000000000e-01	-7.691740e-13	-1.524978e-12
-1.988000000000000e-01	-7.692218e-13	-1.524937e-12
-1.984000000000000e-01	-7.692701e-13	-1.524895e-12
-1.980000000000000e-01	-7.693188e-13	-1.524853e-12
-1.975999999999999e-01	-7.693680e-13	-1.524811e-12
-1.971999999999999e-01	-7.694176e-13	-1.524768e-12
-1.967999999999999e-01	-7.694677e-13	-1.524724e-12
-1.963999999999999e-01	-7.695183e-13	-1.524681e-12
-1.959999999999999e-01	-7.695693e-13	-1.524636e-12
-1.955999999999999e-01	-7.696209e-13	-1.524592e-12
-1.951999999999999e-01	-7.696728e-13	-1.524547e-12
-1.947999999999999e-01	-7.697253e-13	-1.524501e-12
-1.943999999999999e-01	-7.697783e-13	-1.524456e-12
-1.939999999999998e-01	-7.698318e-13	-1.524409e-12
-1.935999999999998e-01	-7.698858e-13	-1.524363e-12
-1.931999999999998e-01	-7.699403e-13	-1.524316e-12
-1.927999999999998e-01	-7.699953e-13	-1.524268e-12
-1.923999999999998e-01	-7.700508e-13	-1.524220e-12
-1.919999999999998e-01	-7.701069e-13	-1.524172e-12
-1.915999999999998e-01	-7.701634e-13	-1.524123e-12
-1.911999999999998e-01	-7.702205e-13	-1.524073e-12
-1.907999999999997e-01	-7.702782e-13	-1.524023e-12
-1.903999999999997e-01	-7.703363e-13	-1.523973e-12
-1.899999999999997e-01	-7.703951e-13	-1.523922e-12
-1.895999999999997e-01	-7.704543e-13	-1.523871e-12
-1.891999999999997e-01	-7.705142e-13	-1.523819e-12
-1.887999999999997e-01	-7.705746e-13	-1.523767e-12
-1.883999999999997e-01	-7.706356e-13	-1.523714e-12
-1.879999999999997e-01	-7.706971e-13	-1.523661e-12
-1.875999999999997e-01	-7.707593e-13	-1.523607e-12
-1.871999999999996e-01	-7.708220e-13	-1.523553e-12
-1.867999999999996e-01	-7.708853e-13	-1.523498e-12
-1.863999999999996e-01	-7.709492e-13	-1.523443e-12
-1.859999999999996e-01	-7.710137e-13	-1.523387e-12
-1.855999999999996e-01	-7.710789e-13	-1.523331e-12
-1.851999999999996e-01	-7.711446e-13	-1.523274e-12
-1.847999999999996e-01	-7.712110e-13	-1.523217e-12
-1.843999999999996e-01	-7.712780e-13	-1.523159e-12
-1.839999999999996e-01	-7.713456e-13	-1.523100e-12
-1.835999999999995e-01	-7.714139e-13	-1.523041e-12
-1.831999999999995e-01	-7.714828e-13	-1.522982e-12
-1.827999999999995e-01	-7.715524e-13	-1.522922e-12
-1.823999999999995e-01	-7.716226e-13	-1.522861e-12
-1.819999999999995e-01	-7.716935e-13	-1.522799e-12
-1.815999999999995e-01	-7.717650e-13	-1.522738e-12
-1.811999999999995e-01	-7.718373e-13	-1.522675e-12
-1.807999999999995e-01	-7.719103e-13	-1.522612e-12
-1.803999999999994e-01	-7.719839e-13	-1.522549e-12
-1.799999999999994e-01	-7.720582e-13	-1.522484e-12
-1.795999999999994e-01	-7.721332e-13	-1.522419e-12
-1.791999999999994e-01	-7.722090e-13	-1.522354e-12
-1.787999999999994e-01	-7.722854e-13	-1.522288e-12
-1.783999999999994e-01	-7.723626e-13	-1.522221e-12
-1.779999999999994e-01	-7.724405e-13	-1.522154e-12
-1.775999999999994e-01	-7.725192e-13	-1.522086e-12
-1.771999999999994e-01	-7.725986e-13	-1.522017e-12
-1.767999999999993e-01	-7.726788e-13	-1.521948e-12
-1.763999999999993e-01	-7.727597e-13	-1.521878e-12
-1.759999999999993e-01	-7.728414e-13	-1.521807e-12
-1.755999999999993e-01	-7.729239e-13	-1.521736e-12
-1.751999999999993e-01	-7.730072e-13	-1.521664e-12
-1.747999999999993e-01	-7.730912e-13	-1.521591e-12
-1.743999999999993e-01	-7.731761e-13	-1.521518e-12
-1.739999999999993e-01	-7.732618e-13	-1.521444e-12
-1.735999999999993e-01	-7.733483e-13	-1.521369e-12
-1.731999999999992e-01	-7.734356e-13	-1.521294e-12
-1.727999999999992e-01	-7.735237e-13	-1.521217e-12
-1.723999999999992e-01	-7.736127e-13	-1.521140e-12
-1.719999999999992e-01	-7.737026e-13	-1.521063e-12
-1.715999999999992e-01	-7.737932e-13	-1.520984e-12
-1.711999999999992e-01	-7.738848e-13	-1.520905e-12
-1.707999999999992e-01	-7.739773e-13	-1.520825e-12
-1.703999999999992e-01	-7.740706e-13	-1.520744e-12
-1.699999999999992e-01	-7.741648e-13	-1.520663e-12
-1.695999999999991e-01	-7.742599e-13	-1.520581e-12
-1.691999999999991e-01	-7.743559e-13	-1.520498e-12
-1.687999999999991e-01	-7.744529e-13	-1.520414e-12
-1.683999999999991e-01	-7.745508e-13	-1.520330e-12
-1.679999999999991e-01	-7.746496e-13	-1.520244e-12
-1.675999999999991e-01	-7.747494e-13	-1.520158e-12
-1.671999999999991e-01	-7.748501e-13	-1.520071e-12
-1.667999999999991e-01	-7.749517e-13	-1.519983e-12
-1.663999999999990e-01	-7.750544e-13	-1.519894e-12
-1.659999999999990e-01	-7.751580e-13	-1.519805e-12
-1.655999999999990e-01	-7.752627e-13	-1.519714e-12
-1.651999999999990e-01	-7.753683e-13	-1.519623e-12
-1.647999999999990e-01	-7.754749e-13	-1.519531e-12
-1.643999999999990e-01	-7.755826e-13	-1.519438e-12
-1.639999999999990e-01	-7.756913e-13	-1.519344e-12
-1.635999999999990e-01	-7.758010e-13	-1.519249e-12
-1.631999999999990e-01	-7.759118e-13	-1.519154e-12
-1.627999999999989e-01	-7.760237e-13	-1.519057e-12
-1.623999999999989e-01	-7.761366e-13	-1.518959e-12
-1.619999999999989e-01	-7.762506e-13	-1.518861e-12
-1.615999999999989e-01	-7.763657e-13	-1.518761e-12
-1.611999999999989e-01	-7.764819e-13	-1.518661e-12
-1.607999999999989e-01	-7.765992e-13	-1.518559e-12
-1.603999999999989e-01	-7.767177e-13	-1.518457e-12
-1.599999999999989e-01	-7.768373e-13	-1.518354e-12
-1.595999999999989e-01	-7.769580e-13	-1.518250e-12
-1.591999999999988e-01	-7.770800e-13	-1.518144e-12
-1.587999999999988e-01	-7.772030e-13	-1.518038e-12
-1.583999999999988e-01	-7.773273e-13	-1.517930e-12
-1.579999999999988e-01	-7.774527e-13	-1.517822e-12
-1.575999999999988e-01	-7.775793e-13	-1.517713e-12
-1.571999999999988e-01	-7.777072e-13	-1.517602e-12
-1.567999999999988e-01	-7.778363e-13	-1.517491e-12
-1.563999999999988e-01	-7.779667e-13	-1.517378e-12
-1.559999999999988e-01	-7.780983e-13	-1.517264e-12
-1.555999999999987e-01	-7.782312e-13	-1.517150e-12
-1.551999999999987e-01	-7.783653e-13	-1.517034e-12
-1.547999999999987e-01	-7.785007e-13	-1.516917e-12
-1.543999999999987e-01	-7.786375e-13	-1.516799e-12
-1.539999999999987e-01	-7.787755e-13	-1.516679e-12
-1.535999999999987e-01	-7.789149e-13	-1.516559e-12
-1.531999999999987e-01	-7.790556e-13	-1.516437e-12
-1.527999999999987e-01	-7.791977e-13	-1.516315e-12
-1.523999999999986e-01	-7.793411e-13	-1.516191e-12
-1.519999999999986e-01	-7.794860e-13	-1.516066e-12
-1.515999999999986e-01	-7.796322e-13	-1.515940e-12
-1.511999999999986e-01	-7.797798e-13	-1.515812e-12
-1.507999999999986e-01	-7.799289e-13	-1.515683e-12
-1.503999999999986e-01	-7.800793e-13	-1.515554e-12
-1.499999999999986e-01	-7.802312e-13	-1.515422e-12
-1.495999999999986e-01	-7.803847e-13	-1.515290e-12
-1.491999999999986e-01	-7.805395e-13	-1.515156e-12
-1.487999999999985e-01	-7.806959e-13	-1.515021e-12
-1.483999999999985e-01	-7.808538e-13	-1.514885e-12
-1.479999999999985e-01	-7.810132e-13	-1.514747e-12
-1.475999999999985e-01	-7.811741e-13	-1.514608e-12
-1.471999999999985e-01	-7.813366e-13	-1.514468e-12
-1.467999999999985e-01	-7.815006e-13	-1.514326e-12
-1.463999999999985e-01	-7.816662e-13	-1.514183e-12
-1.459999999999985e-01	-7.818335e-13	-1.514039e-12
-1.455999999999985e-01	-7.820023e-13	-1.513893e-12
-1.451999999999984e-01	-7.821727e-13	-1.513746e-12
-1.447999999999984e-01	-7.823448e-13	-1.513597e-12
-1.443999999999984e-01	-7.825186e-13	-1.513447e-12
-1.439999999999984e-01	-7.826940e-13	-1.513296e-12
-1.435999999999984e-01	-7.828712e-13	-1.513143e-12
-1.431999999999984e-01	-7.830500e-13	-1.512989e-12
-1.427999999999984e-01	-7.832305e-13	-1.512833e-12
-1.423999999999984e-01	-7.834128e-13	-1.512676e-12
-1.419999999999983e-01	-7.835969e-13	-1.512517e-12
-1.415999999999983e-01	-7.837827e-13	-1.512356e-12
-1.411999999999983e-01	-7.839703e-13	-1.512195e-12
-1.407999999999983e-01	-7.841597e-13	-1.512031e-12
-1.403999999999983e-01	-7.843509e-13	-1.511866e-12
-1.399999999999983e-01	-7.845440e-13	-1.511699e-12
-1.395999999999983e-01	-7.847390e-13	-1.511531e-12
-1.391999999999983e-01	-7.849358e-13	-1.511361e-12
